N,X,Y
7-ELEVEN BRABHAM,115.968131,-31.83263
DERBY TYRE & EXHAUST,123.6294,-17.30541
UNITED BIBRA LAKE,115.802588,-32.093798
COLES EXPRESS BUTLER,115.69551,-31.638264
BP BEELIAR,115.843357,-32.127157
COLES EXPRESS MOSMAN PARK,115.759436,-32.005181
TOMEO'S SERVICE STATION,116.121421,-32.105085
GLEN FORREST FUEL,116.089879,-31.901089
CALTEX WOOLWORTHS KINGSLEY,115.788817,-31.806959
SHELL WONTHELLA,114.62428,-28.768988
CALTEX SEVILLE GROVE,115.980362,-32.13688
COLES EXPRESS WARWICK,115.812641,-31.84448
BP BUNBURY SHOP FRONT,115.708348,-33.344746
HILLS EMPORIO,116.115545,-32.086273
BP CONNECT ROCKINGHAM PARK,115.741388,-32.289749
BODDINGTON ,116.474331,-32.802381
VICTORIA PARK,115.9055235,-31.98779416
BP NAVAL BASE,115.781843,-32.199892
CALTEX GERALDTON,114.6287356,-28.75117545
7-ELEVEN WANGARA,115.827751,-31.801955
VIBE UPPER SWAN IGA XPRESS,116.031763,-31.765846
7-ELEVEN COCKBURN CENTRAL,115.846548,-32.120001
WOOLWORTHS CALTEX GERALDTON,114.61118,-28.775893
CALTEX WOOLWORTHS AVELEY,115.987368,-31.777467
AMPOL KARRIDALE,115.09883,-34.202217
BP KEWDALE TRUCKSTOP,115.974995,-31.981611
VIBE MORLEY,115.889889,-31.887832
PUMA HAMILTON HILL,115.779519,-32.075531
CALTEX GERALDTON,114.629344,-28.784407
INDEPENDENT HOPETOUN,120.126057,-33.943916
COLES EXPRESS CASUARINA,115.848153,-32.232211
WOOLWORTHS CALTEX BUSSELTON,115.342621,-33.649558
ATLAS FUEL KWINANA,115.780215,-32.235848
CALTEX WOOLWORTHS RIVERTON,115.896712,-32.038394
UNITED HAMILTON HILL,115.780931,-32.074926
7-ELEVEN ROCKINGHAM,115.777477,-32.276643
PUMA COMO,115.862362,-31.999152
INDEPENDENT MINGENEW,115.440519,-29.190388
AMPOL MARBLE BAR,119.750472,-21.174778
INDEPENDENT LEONORA,121.330436,-28.885327
CALTEX GERALDTON,114.603681,-28.777063
CALTEX WOOLWORTHS MADDINGTON WEST,115.977502,-32.049324
PUMA MINDARIE,115.713732,-31.693672
PUMA HAMILTON HILL SOUTH,115.783081,-32.093152
CALTEX PERTH,115.869933,-31.95545
COLES EXPRESS SINGLETON,115.762934,-32.447135
BP CONNECT RIVERTON,115.904396,-32.038987
VIBE WELSHPOOL,115.930681,-31.994327
CALTEX WOOLWORTHS CLARKSON,115.715429,-31.689237
CALTEX KEWDALE,115.956034,-31.983511
INDEPENDENT MOONYOONOOKA,114.722339,-28.782181
BP DONGARA,114.940392,-29.251847
AMPOL CAPEL,115.562498,-33.552277
BP JINDALEE,115.689599,-31.636611
VIBE MT HELENA IGA XPRESS,116.209053,-31.878494
PUMA LESMURDIE,116.064281,-31.991334
CALTEX FURNISSDALE,115.79836,-32.56719
MECKERING ROADHOUSE,117.006165,-31.632463
7-ELEVEN THORNLIE,115.952095,-32.06954
WOOLWORTHS CALTEX KALGOORLIE,121.468754,-30.74841
BP WELSHPOOL,115.936881,-31.986384
PUMA YOKINE,115.849565,-31.904611
COLES EXPRESS CLOVERDALE,115.933162,-31.965068
CALTEX BUSSELTON WEST,115.311682,-33.657308
BP DOG SWAMP,115.846868,-31.911458
X CONVENIENCE ALKIMOS,115.688754,-31.621433
PUMA BEDFORDALE,116.07568,-32.18201
LEONORA ,121.329854,-28.888467
SHELL BOULDER,121.48905,-30.77856
LIBERTY LANDSDALE,115.837737,-31.802758
COLES EXPRESS ESPERANCE,121.890575,-33.861066
COLES EXPRESS UPPER SWAN ROADHOUSE,116.025962,-31.774631
CALTEX BIBRA LAKE,115.8097,-32.1094
CALTEX NORTH MALAGA,115.882115,-31.852953
CALTEX BALCATTA,115.8190833,-31.86256705
AMPOL BOW BRIDGE,116.952789,-34.96739
PUMA UPPER SWAN,116.028679,-31.770891
AMPOL WATERLOO,115.723149,-33.3397
CALTEX GOSNELLS,116.00631,-32.075862
BP WANNEROO,115.808371,-31.782279
PUMA PEARSALL,115.826174,-31.785754
PUMA BELMONT,115.939633,-31.946289
FASTFUEL 24/7,116.01183,-31.995465
PUMA DAYTON,115.968786,-31.851089
YOUNG SIDING GENERAL STORE,117.522637,-35.01333
WOOLWORTHS CALTEX ELLENBROOK,115.969142,-31.780868
CALTEX WOOLWORTHS NORTHLANDS,115.830941,-31.87254
INDEPENDENT BOYUP BROOK,116.383656,-33.829584
UNITED ELLENBROOK,115.96699,-31.77852
CALTEX FALCON,115.661386,-32.581111
BP FORRESTDALE,115.969456,-32.137312
LOWER KING ,117.943591,-34.949186
7-ELEVEN ROCKINGHAM CENTRAL,115.743091,-32.291686
BENCUBBIN,117.863133,-30.810993
BP DONNYBROOK,115.822932,-33.570712
NIGHTOWL SHELL MADDINGTON,115.988733,-32.045398
7-ELEVEN ASCOT,115.925077,-31.941776
OSBORNE PARK,115.8060973,-31.90490842
CALTEX BOYANUP,115.728124,-33.483467
COLES EXPRESS PORT HEDLAND,118.606242,-20.311595
BP CONNECT PALM SPRINGS,115.761802,-32.348147
UNITED BASSENDEAN,115.932367,-31.905283
MOUNT LAWLEY,115.8801329,-31.92578244
BP BOULDER TRADING POST,121.488479,-30.783375
SHELL JARRAHDALE,116.006734,-32.308753
CALTEX WOOLWORTHS WARNBRO,115.758812,-32.328947
VIBE PIARA WATERS,115.922099,-32.146852
PUMA RANFORD,115.974144,-32.14267
WOOLWORTHS CALTEX GREENWOOD,115.820446,-31.821856
CALTEX GELORUP,115.641653,-33.392925
WOOLWORTHS CALTEX DIANELLA,115.871649,-31.896597
BP HARTFIELD,116.000044,-31.990633
BP BUSSELTON,115.344263,-33.652514
UNITED SWANBOURNE,115.767278,-31.983608
BP BALDIVIS SOUTHBOUND TRAVEL CENTRE,115.83277,-32.309281
COLES EXPRESS BIBRA LAKE,115.807471,-32.116954
SHELL HIGH WYCOMBE,115.992146,-31.938206
COLES EXPRESS LEONORA,121.330444,-28.88478
CALTEX ERSKINE,115.689474,-32.560213
7-ELEVEN LANDSDALE,115.835741,-31.804934
CALTEX DONGARA,114.956364,-29.253251
LEDA,115.8065245,-32.26001096
VIBE ARMADALE,116.001834,-32.158168
COLES EXPRESS HIGHGATE,115.877089,-31.93816
BP KOONDOOLA,115.858407,-31.841862
AMPOL MOORA,116.009241,-30.641048
INDEPENDENT WONGAN HILLS,116.714917,-30.890388
COLES EXPRESS GIRRAWHEEN,115.829036,-31.834462
INDEPENDENT AMELUP,118.219671,-34.252565
COLES EXPRESS WANGARA,115.852478,-31.791963
SHELL RIVER ROOSTER,117.176686,-32.933112
BETTER CHOICE EDGEWATER,115.789182,-31.772036
BP WAGIN,117.342267,-33.309626
UNITED TAPPING,115.783408,-31.719744
COLES EXPRESS VICTORIA PARK,115.896159,-31.985588
BP 53 MILE ROADHOUSE,115.881552,-32.625402
PUMA HIGH WYCOMBE,116.008034,-31.936977
PUMA YANCHEP,115.641352,-31.547779
CRUDELI'S AUTO REPAIRS,115.51329,-28.539962
CALTEX WEST SWAN,115.990601,-31.839008
CALTEX STRATTON,116.032791,-31.865645
VIBE SPEARWOOD,115.782419,-32.105033
BP WOODVALE BOULEVARDE,115.795949,-31.799781
RELIANCE LAVERTON,122.396466,-28.623944
BP GREENWOOD,115.802073,-31.832278
BP HENLEY BROOK,115.978636,-31.795951
CALTEX DENMARK,117.351258,-34.961873
7-ELEVEN JOONDALUP,115.765241,-31.753934
PUMA WANGARA,115.819241,-31.786174
CALTEX DIANELLA,115.870441,-31.895572
CALTEX GLENDALOUGH,115.819641,-31.922328
