Name,Latitude,Longitude,TotalConnections,AveragePowerOutput,DateCreated
City of Adelaide EV Hub,-34.9275656868653,138.5951846838,4,43.0,2018-02-18T01:10:00Z
Summit Health Centre,-35.0812612,138.8692225,1,7.0,2018-02-18T01:10:00Z
Town Centre,-35.5538980228341,138.621958494186,1,7.0,2018-02-18T01:10:00Z
Goolwa Visitor Centre,-35.502923987621,138.784103393555,1,7.0,2018-02-18T01:10:00Z
Normanville Town Centre,-35.44700132829,138.318842053413,1,7.0,2018-02-18T01:10:00Z
Strathalbyn Visitor Information Centre,-35.2611352649743,138.891831636429,1,7.0,2018-02-18T01:10:00Z
Barker Reserve,-35.5576774380052,138.612383008003,1,7.0,2018-02-18T01:10:00Z
Adelaide Hills Business Centre,-34.9494963805521,138.87688100338,1,7.0,2018-02-18T01:10:00Z
Gawler Visitor Information Centre,-34.5964807070339,138.749830126762,1,6.6,2018-02-18T01:10:00Z
Office Building car park,-34.9782827782779,138.573560714722,1,6.6,2018-02-18T01:10:00Z
Burnside Shopping Centre,-34.9423509694796,138.641946315765,2,6.3,2018-02-18T13:52:00Z
Penneshaw Kangaroo Island,-35.7182945532347,137.938553094864,1,6.6,2018-02-18T13:52:00Z
Kingscote Kangaroo Island,-35.655587624348,137.638199329376,1,6.6,2018-02-18T13:52:00Z
Parndana Kangaroo Island,-35.7913961145384,137.263805866241,1,6.6,2018-02-18T13:52:00Z
Gawler Council Administration Centre,-34.597536084816,138.750350475311,1,6.6,2018-02-18T13:52:00Z
Fleurieu Automotive,-35.5579131000237,138.600490093231,1,0,2018-02-19T05:42:00Z
UPark on Grote Street,-34.9282342045162,138.596016168594,1,3.6,2018-02-19T21:18:00Z
Summit Community Centre,-34.9237435964961,138.72494995594,1,7.0,2018-02-21T06:54:00Z
Unley Nissan,-34.9561487480727,138.60754430294,1,6.6,2018-02-23T00:17:00Z
Organic Market and Cafe,-35.0055123951571,138.716045022011,2,6.6,2018-02-23T00:17:00Z
Tea Tree Plaza Transport Interchange Car Park,-34.8311586377413,138.695129156113,1,6.6,2018-02-23T00:17:00Z
Adelaide Airport Terminal Car Park,-34.9377511939248,138.536149263382,2,7.0,2018-02-23T02:00:00Z
Broadway Supercharger,-33.882995,151.194332,1,120.0,2018-02-23T07:01:00Z
Cooroy Station,-26.4178079482267,152.911369371053,3,40.666666666666664,2018-06-01T09:42:00Z
Maryborough QESH,-25.5395639,152.6987293,3,40.666666666666664,2018-06-01T10:05:00Z
Childers QESH,-25.235051698123705,152.27907294299166,3,40.666666666666664,2018-06-01T10:07:00Z
Miriam Vale QESH,-24.327315454004623,151.56053269510653,3,40.666666666666664,2018-06-01T10:12:00Z
Charles Darwin University - Car Park Orange C,-12.374576,130.869764,3,9.333333333333334,2018-07-02T11:02:00Z
Warmun Roadhouse,-17.017009491078326,128.21695086556724,1,22.0,2018-07-11T10:36:00Z
Kununurra Agricultural Show Grounds,-15.771180096780398,128.73165995397676,1,22.0,2018-07-11T13:41:00Z
Fitzroy Crossing BP Roadhouse,-18.196713,125.5629255,1,22.0,2018-07-11T13:43:00Z
Kimberley Entrance Caravan Park,-17.3073017,123.6264617,1,22.0,2018-07-12T19:38:00Z
Adelaide Central Market,-34.9298933132088,138.597212856214,1,22.0,2018-08-09T11:51:00Z
"Rundle UPark, Adelaide",-34.9229265290754,138.605967586439,1,22.0,2018-08-09T11:53:00Z
"Hindmarsh Square, Adelaide",-34.9244219745177,138.604937618177,1,22.0,2018-08-09T11:56:00Z
"Wyatt UPark, Adelaide",-34.9250025518746,138.604250972669,1,22.0,2018-08-09T12:00:00Z
"Light Square, Adelaide",-34.9255343,138.5946563,1,22.0,2018-08-09T12:02:00Z
"Topham UPark, Adelaide",-34.9255831251237,138.597405975263,1,22.0,2018-08-09T12:04:00Z
"Jerningham Street, North Adelaide",-34.9074752234107,138.605518610603,1,22.0,2018-08-09T12:07:00Z
Narooma Supercharger,-36.223136,150.128346,1,120.0,2018-10-11T14:28:00Z
Tamworth Supercharger,-31.1016479615861,150.9173432295,1,120.0,2018-12-23T02:15:00Z
Gold Coast Supercharger,-28.035361,153.427306,1,120.0,2019-01-02T21:41:00Z
Canberra Supercharger,-35.294304,149.190322,1,120.0,2019-01-02T21:55:00Z
Maroochydore Supercharger,-26.654159,153.087171,1,120.0,2019-01-03T07:52:00Z
Murray Bridge Visitor Information Centre,-35.1203280440309,139.276326843254,1,22.0,2019-01-09T06:03:00Z
Sea Gypsy Boutique Cafe,-24.7635262364691,152.406376500262,2,50.0,2019-01-22T05:30:00Z
Albany Highway,-32.01768180025333,115.93733402246494,0,0,2019-02-12T14:28:00Z
North Shore Hamilton Station [QLD Electric Superhighway],-27.4443374840838,153.083977603349,5,44.4,2019-02-16T04:27:00Z
Dubbo Supercharger [Tesla],-32.24995,148.609182,1,120.0,2019-04-05T09:51:00Z
Bathurst Supercharger,-33.41910934956461,149.58664011817848,1,120.0,2019-04-05T09:54:00Z
Hobart Central Car Park,-42.8812069603813,147.324060134641,1,7.0,2019-04-26T01:55:00Z
Macquarie Point Car Park,-42.880712589104,147.337127709596,1,22.0,2019-05-03T06:37:00Z
Narrandera Marie Bashir Park [NRMA],-34.7465700926125,146.550239228691,2,50.0,2019-05-13T11:58:00Z
Paterson St East Car Park,-41.4359929336476,147.139492094509,2,50.0,2019-05-14T02:28:00Z
Chargefox - Euroa,-36.7430554636255,145.59112372251286,8,206.25,2019-05-15T06:58:00Z
Chargefox - Barnawartha North,-36.0741629913788,146.72714760942472,8,168.75,2019-05-15T23:38:00Z
Mount Field Visitor Centre,-42.681838541884,146.716543290624,1,22.0,2019-05-16T05:28:00Z
Greensborough Plaza,-37.7021622916574,145.102334661124,2,22.0,2019-05-18T02:59:00Z
PCYC Car Park,-33.75028109544636,151.28666346345153,3,7.0,2019-06-17T16:38:00Z
Central Coast Supercharger [Tesla],-33.309014,151.421114,1,120.0,2019-06-23T05:54:00Z
Berry Supercharger,-34.808254,150.636711,1,120.0,2019-06-23T05:55:00Z
Gillies Street North,-37.535211492512,143.823742199547,1,6.6,2019-06-26T02:36:00Z
