DateCreated,CumulativeStations
2011-07-06T17:46:00Z,1
2011-11-11T12:07:00Z,2
2011-11-11T12:07:00Z,3
2011-11-11T12:07:00Z,4
2012-05-01T20:38:00Z,5
2013-03-13T22:35:00Z,6
2013-03-13T22:39:00Z,7
2013-03-17T13:37:00Z,8
2013-03-22T13:14:00Z,9
2013-03-23T07:53:00Z,10
2013-03-23T07:59:00Z,11
2013-03-23T22:46:00Z,12
2013-03-28T09:30:00Z,13
2013-03-28T09:32:00Z,14
2013-03-28T09:34:00Z,15
2013-03-28T09:35:00Z,16
2013-03-28T09:36:00Z,17
2013-03-31T09:19:00Z,18
2013-03-31T09:21:00Z,19
2013-04-09T16:42:00Z,20
2013-05-12T09:46:00Z,21
2013-05-26T07:31:00Z,22
2013-05-26T07:38:00Z,23
2013-05-26T07:42:00Z,24
2013-05-29T00:57:00Z,25
2013-05-29T01:02:00Z,26
2013-05-29T01:07:00Z,27
2013-05-29T01:08:00Z,28
2013-05-29T01:10:00Z,29
2013-05-29T01:12:00Z,30
2013-06-23T07:12:00Z,31
2013-08-25T03:32:00Z,32
2014-09-27T20:41:00Z,33
2014-11-29T05:39:00Z,34
2014-12-11T06:04:00Z,35
2015-01-13T10:14:00Z,36
2015-01-28T11:43:00Z,37
2015-06-25T04:58:00Z,38
2015-06-25T05:35:00Z,39
2015-06-25T06:09:00Z,40
2015-06-25T06:12:00Z,41
2015-09-12T18:46:00Z,42
2015-10-07T19:30:00Z,43
2015-10-11T19:50:00Z,44
2016-01-09T00:02:00Z,45
2016-01-12T10:00:00Z,46
2016-01-25T00:16:00Z,47
2016-02-01T23:09:00Z,48
2016-03-03T12:28:00Z,49
2016-05-09T22:49:00Z,50
2016-05-09T22:49:00Z,51
2016-05-09T22:49:00Z,52
2016-05-09T22:49:00Z,53
2016-05-09T22:49:00Z,54
2016-05-09T22:49:00Z,55
2016-05-09T22:49:00Z,56
2016-05-09T22:49:00Z,57
2016-05-09T22:49:00Z,58
2016-05-09T22:49:00Z,59
2016-05-09T22:49:00Z,60
2016-05-09T23:15:00Z,61
2016-05-09T23:15:00Z,62
2016-07-01T22:20:00Z,63
2016-07-01T22:29:00Z,64
2016-07-02T08:55:00Z,65
2016-07-02T23:05:00Z,66
2016-10-03T02:55:00Z,67
2016-11-18T00:22:00Z,68
2016-12-02T12:15:00Z,69
2017-01-06T07:48:00Z,70
2017-01-26T21:17:00Z,71
2017-01-27T08:04:00Z,72
2017-01-29T16:21:00Z,73
2017-01-29T17:30:00Z,74
2017-01-30T13:07:00Z,75
2017-01-30T13:19:00Z,76
2017-01-30T13:33:00Z,77
2017-07-13T14:13:00Z,78
2017-08-09T07:07:00Z,79
2017-08-18T07:46:00Z,80
2017-09-27T19:23:00Z,81
2017-09-27T19:25:00Z,82
2017-09-27T19:28:00Z,83
2017-09-27T19:31:00Z,84
2017-10-05T05:31:00Z,85
2017-11-02T06:45:00Z,86
2018-01-12T04:48:00Z,87
2018-01-21T15:54:00Z,88
