Date,TotalChargers,Connections_1,Connections_2,Connections_3,Connections_4,Connections_5,Connections_6,Connections_7,Connections_8
2011-07-06T17:46:00Z,1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-11T12:07:00Z,4,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-01T20:38:00Z,5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-13T22:35:00Z,6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-13T22:39:00Z,7,85.71,14.29,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-17T13:37:00Z,8,87.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-22T13:14:00Z,9,77.78,22.22,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-23T07:53:00Z,10,80.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-23T07:59:00Z,11,81.82,18.18,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-23T22:46:00Z,12,83.33,16.67,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-28T09:30:00Z,13,84.62,15.38,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-28T09:32:00Z,14,85.71,14.29,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-28T09:34:00Z,15,86.67,13.33,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-28T09:35:00Z,16,81.25,18.75,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-28T09:36:00Z,17,82.35,17.65,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31T09:19:00Z,18,77.78,22.22,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31T09:21:00Z,19,78.95,21.05,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-09T16:42:00Z,20,80.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-12T09:46:00Z,21,80.95,19.05,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-26T07:31:00Z,22,81.82,18.18,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-26T07:38:00Z,23,82.61,17.39,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-26T07:42:00Z,24,83.33,16.67,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-29T00:57:00Z,25,84.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-29T01:02:00Z,26,84.62,15.38,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-29T01:07:00Z,27,85.19,14.81,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-29T01:08:00Z,28,82.14,14.29,3.57,0.0,0.0,0.0,0.0,0.0
2013-05-29T01:10:00Z,29,82.76,13.79,3.45,0.0,0.0,0.0,0.0,0.0
2013-05-29T01:12:00Z,30,83.33,13.33,3.33,0.0,0.0,0.0,0.0,0.0
2013-06-23T07:12:00Z,31,83.87,12.9,3.23,0.0,0.0,0.0,0.0,0.0
2013-08-25T03:32:00Z,32,84.38,12.5,3.12,0.0,0.0,0.0,0.0,0.0
