lon,lat,proj_lon,proj_lat,distance_to_closest_station
112,-44,-1816415.6929507959,-1908586.0583083883,1080.9696112456022
112,-43,-1836380.7793785408,-1795706.320587892,980.2051842115508
112,-42,-1856235.3223948276,-1683451.579475214,881.9231750008616
112,-41,-1875987.5891475845,-1571775.093700626,787.0458455880247
112,-40,-1895645.5552275602,-1460631.7704169154,690.3553856884262
112,-39,-1915216.9299169148,-1349978.02244747,591.536659248487
112,-38,-1934709.179415622,-1239771.6369675223,497.8876126200903
112,-37,-1954129.548270313,-1129971.6543485434,412.92511129054475
112,-36,-1973485.0792032536,-1020538.2560480447,343.1445614624399
112,-35,-1992782.6315159865,-911432.6605580229,299.3371188747384
112,-34,-2012028.8982222164,-802617.0265380859,281.36246401592905
112,-33,-2031230.4220472863,-694054.3623566933,294.4489140284944
112,-32,-2050393.610416686,-585708.4413482939,334.6378262638442
112,-31,-2069524.7495430817,-477543.7221672732,299.05435550395333
112,-30,-2088630.017710151,-369525.273683045,284.88976142284173
112,-29,-2107715.497841723,-261618.70391595026,247.185256998607
112,-28,-2126787.189436226,-153790.09256158004,215.79178879218722
112,-27,-2145851.0199390515,-46005.92669308354,192.18612468063387
112,-26,-2164912.8556189644,61766.9607325199,153.64416706107048
112,-25,-2183978.51200911,169561.44990627666,167.47811684995875
112,-24,-2203053.7639682377,277410.1910520431,193.89958202594667
112,-23,-2222144.3554135566,385345.65945462906,181.96887462670307
112,-22,-2241256.008772926,493400.2089011409,220.16647500034455
112,-21,-2260394.4342009355,601606.1237873811,243.9926790246595
112,-20,-2279565.3386007063,709995.6701258109,308.37577359381714
112,-19,-2298774.434490916,818601.1456784459,393.89662473502875
112,-18,-2318027.4487556205,927454.9294270937,489.5930933490124
112,-17,-2337330.1313128322,1036589.5305842507,590.5326478592069
112,-16,-2356688.2637364888,1146037.6373404695,694.427774270596
112,-15,-2376107.667865449,1255832.1655384086,800.1240115241993
112,-14,-2395594.2144323927,1366006.307459381,905.9064986270646
112,-13,-2415153.83174498,1476593.5809053858,999.5747691441736
112,-12,-2434792.5144513873,1587627.8787581916,1096.3779647785286
112,-11,-2454516.3324222863,1699143.5191967876,1195.5529861613152
113,-44,-1734639.8498886863,-1894457.6309298214,1051.7946330617738
113,-43,-1753706.0992381277,-1781422.600962734,947.4161780205612
113,-42,-1772666.7818897022,-1669013.4274311853,844.7584362459319
113,-41,-1791529.7928006588,-1557183.3047619902,744.5247711048231
113,-40,-1810302.7484971,-1445887.078072277,647.8312906025728
113,-39,-1828993.0111858717,-1335081.1002211627,554.5055768076046
113,-38,-1847607.7109353004,-1224723.1003103582,452.6368332099698
113,-37,-1866153.7661393043,-1114772.062361867,356.2746261432367
113,-36,-1884637.9024536572,-1005188.1130535676,271.3269167698551
113,-35,-1903066.670371093,-895932.4175245014,211.9614633396986
113,-34,-1921446.4615828595,-786967.0823747382,189.35569180078798
113,-33,-1939783.5242578932,-678255.0650821748,206.37562014028111
113,-32,-1958083.9773565356,-569760.0891430862,246.72978706566545
113,-31,-1976353.8240833604,-461446.5643164927,205.73104431691266
113,-30,-1994598.964572964,-353279.5114159449,199.55321255472492
113,-29,-2012825.207893237,-245224.4911476391,155.7078858475436
113,-28,-2031038.283442518,-137247.53654192746,119.3192666234953
113,-27,-2049243.8518099678,-29315.088567159495,125.99981358120097
113,-26,-2067447.5151623208,78606.06544860287,53.889974251276165
113,-25,-2085654.8272148306,186548.85093073203,67.27719943387194
113,-24,-2103871.3028395358,294545.9630210344,117.84152200625772
113,-23,-2122102.427359936,402629.9216816025,80.40208006801878
113,-22,-2140353.6655776394,510833.12520967633,116.97959138262485
113,-21,-2158630.470573536,619187.9024157295,156.53494026099736
113,-20,-2176938.292323428,727726.5637016087,244.60835085309253
113,-19,-2195282.5861658575,836481.4512623779,345.9278844478225
113,-18,-2213668.821158013,945484.9886246459,451.65686843637474
113,-17,-2232102.4883540375,1054769.7297248668,559.2936416379727
113,-16,-2250589.1090388363,1164368.4077237793,663.2682996805581
113,-15,-2269134.242949491,1274313.983747408,754.353433236818
113,-14,-2287743.4965156834,1384639.6957407491,850.0674989281445
113,-13,-2306422.531150023,1495379.107617303,949.0080749365064
113,-12,-2325177.071618958,1606566.1588863602,1050.2613478012504
113,-11,-2344012.91452488,1718235.2149395167,1153.2164125899042
114,-44,-1652754.1732432696,-1880980.3563896033,1028.9530196271974
114,-43,-1670920.3782813977,-1767797.1913056215,921.5857547314874
114,-42,-1688986.000019502,-1655240.7028570408,815.2308558800686
114,-41,-1706958.5607242603,-1543264.0241308534,710.3340119979287
114,-40,-1724845.3173748674,-1431821.9410676276,607.6400839499175
114,-39,-1742653.2846366952,-1320870.7493258617,508.47279392400566
114,-38,-1760389.2559949653,-1210368.1226102328,415.35029570044037
114,-37,-1778059.8232528223,-1100272.991190329,315.8221131405266
114,-36,-1795671.3945736957,-990545.4294890811,214.67292783047805
114,-35,-1813230.211226748,-881146.5517515122,130.58999202734574
114,-34,-1830742.3631760627,-772038.4149174871,98.09498585580823
114,-33,-1848213.8036385486,-663183.9279197871,123.70500698454968
114,-32,-1865650.3627219598,-554546.7667134583,159.5445489519412
114,-31,-1883057.7602426684,-446091.2944156599,116.40676228114548
114,-30,-1900441.6178126056,-337782.4859988761,105.83490577196
114,-29,-1917807.470275906,-229585.85703578586,61.898106421247
114,-28,-1935160.7765680454,-121467.39604221177,36.17672324687982
114,-27,-1952506.9300635385,-13393.500006588272,64.2855342568335
114,-26,-1969851.2684723719,94669.08726902443,36.17237913417778
114,-25,-1987199.0833402583,202753.33435956071,35.45716426368859
114,-24,-2004555.6292033368,310891.97925459145,97.66769237008513
114,-23,-2021926.1324440767,419117.5845343999,28.553585705225487
114,-22,-2039315.7998918202,527462.5909549746,15.1660563240804
114,-21,-2056729.8272084761,635959.3696944684,104.67135093597987
114,-20,-2074173.407097448,744640.2734982776,214.93254225133165
114,-19,-2091651.7373717248,853537.6869466994,316.2412247105481
114,-18,-2109170.028915336,962684.0760581448,421.04963229021416
114,-17,-2126733.513570876,1072112.037431786,510.8303688853669
114,-16,-2144347.4519846197,1181854.3471259484,604.3257696888836
114,-15,-2162017.1414398444,1291944.0094630073,702.804181303393
114,-14,-2179747.923708244,1402414.305947081,804.4339216884117
114,-13,-2197545.1929489123,1513298.8444779834,908.1546358729411
114,-12,-2215414.403684086,1624631.6090435437,1013.3220316005306
114,-11,-2233361.078880851,1736447.010072031,1119.5265408245411
115,-44,-1570763.8478356418,-1868155.0880391428,1012.8762513497226
115,-43,-1588028.8583182755,-1754830.9543475495,903.314302356995
115,-42,-1605198.2752674415,-1642134.2778114362,794.1963851219847
